ISO_CODE_1,ISO_CODE_2,FBDist
AF,AZ,3.5688060485815876
AF,BA,4.191662949311082
AF,BB,3.82509205721847
AF,BD,3.330200722186459
AF,BE,3.656969781150234
AF,BF,3.421709321992604
AF,BG,4.135207841124905
AF,BH,3.309452358582934
AF,BI,3.455762753186563
AF,BJ,3.485830988115976
AF,BM,4.691694149959778
AF,BN,3.925321958714463
AF,BO,3.761507451902497
AF,BQ,6.519163171753618
AF,BR,4.04198681920074
AF,BS,3.7675742943060633
AF,BT,3.2907063629963673
AF,BW,4.199941478019634
AF,BY,3.679367419095101
AF,BZ,3.749286059450657
AF,CA,3.6039596212724496
AF,CD,3.529847569371245
AF,CF,3.422834476309211
AF,CG,3.5262223078262944
AF,CH,3.5863203796731633
AF,CI,3.435165617667884
AF,CK,6.988254711494874
AF,CL,4.1132701692734335
AF,CM,3.4652884071804655
AF,CN,3.734421630691015
AF,CO,3.619272833266933
AF,CR,5.3811566016191525
AF,CV,3.6470625125635405
AF,CW,4.533924230862856
AF,CY,4.195070109773981
AF,CZ,3.6785135018806976
AF,DE,3.529807978843884
AF,DJ,3.4006706799487367
AF,DK,3.9790235804924694
AF,DM,4.315444787847772
AF,DO,3.7149114223115576
AF,DZ,3.232518867871889
AF,EC,3.9082666872730876
AF,EE,3.5857393019077657
AF,EG,3.8248040616161854
AF,ER,4.277652647736542
AF,ES,3.737361497953343
AF,ET,3.5376731327371886
AF,FI,3.6556916224395817
AF,FJ,3.484612123703738
AF,FM,4.009914470015467
AF,FO,4.876283949784113
AF,FR,3.529832336388446
AF,GA,3.479738098211623
AF,GB,3.707592858393638
AF,GD,3.9904279276152987
AF,GE,3.60983599215051
AF,GF,3.7884251240059306
AF,GH,3.4753382496478578
AF,GI,6.0851707353060975
AF,GL,4.7943725636871
AF,GM,3.4392573339966566
AF,GN,3.421917994169966
AF,GP,4.061135940243133
AF,GQ,4.076939173491141
AF,GR,4.113885225288611
AF,GT,3.776124480906117
AF,GU,3.990878929245056
AF,GW,3.865388562596505
AF,GY,3.509646898371222
AF,HK,4.8335764884962185
AF,HN,3.7344402997411184
AF,HR,4.496807783174436
AF,HT,3.6817175936760465
AF,HU,3.9691245166392757
AF,ID,3.494655344208842
AF,IE,4.53071681348836
AF,IL,4.092470848423722
AF,IM,5.363096346467029
AF,IN,3.369046784093399
AF,IQ,4.172681595634737
AF,IS,4.2219208087799505
AF,IT,4.208615836726338
AF,JM,3.665669425470573
AF,JO,5.298917669198134
AF,JP,3.691080388078895
AF,KE,3.397773953419882
AF,KG,3.317233499551947
AF,KH,3.7636855054021257
AF,KI,3.988451317965858
AF,KM,3.9208116188880475
AF,KN,5.620384637956523
AF,KR,4.022946511805681
AF,KW,3.2895498288899194
AF,KY,4.434726611658862
AF,KZ,3.4940462663585206
AF,LA,3.7583804769497173
AF,LB,3.676114696849133
AF,LC,3.8909795081309455
AF,LI,6.451781740466571
AF,LK,3.537568468175621
AF,LR,3.32994121731924
AF,LS,3.563653018340958
AF,LT,4.981100294274981
AF,LU,3.900547829239845
AF,LV,3.611469048118052
AF,LY,3.8805990205689
AF,MA,3.4187141069711946
AF,MC,5.981951977487003
AF,MD,3.5489330020984897
AF,ME,4.15354213792089
AF,MF,13.227446902143296
AF,MG,3.364952001684967
AF,MH,4.194599113912584
AF,MK,4.315074086554028
AF,ML,3.3719924087587394
AF,MM,3.3968903207359458
AF,MN,3.8194188890486855
AF,MO,4.8853810700552165
AF,MP,4.277379298044067
AF,MQ,4.159696074136179
AF,MR,3.330849808742277
AF,MS,13.853161017185794
AF,MT,5.002686943030597
AF,MU,4.093130386945524
AF,MV,3.9539889133737605
AF,MW,3.575832442305676
AF,MX,3.9076761962854207
AF,MY,4.899501855886805
AF,MZ,3.469298328029859
AF,NA,3.601056341706152
AF,NC,4.2612493479699936
AF,NE,3.38360423596873
AF,NG,3.3697519501477666
AF,NI,3.6961803571919813
AF,NL,3.711241143853876
AF,NO,3.794506866799268
AF,NP,3.3348834562817125
AF,NR,8.817576339690952
AF,NU,4.626457824599655
AF,NZ,3.86867949127306
AF,OM,3.2045587219830427
AF,PA,3.5551696537383277
AF,PE,3.6138331152850593
AF,PF,4.419590783431757
AF,PG,3.4750300389735758
AF,PH,3.5862877797994703
AF,PK,3.1475712468354256
AF,PL,3.7594459838425687
AF,PM,12.53334433270695
AF,PR,6.266847844719227
AF,PS,5.087715739692379
AF,PT,4.540104623397767
AF,PW,8.09334502137258
AF,PY,4.431578874436279
AF,QA,3.180241064640253
AF,RE,4.171625055160778
AF,RO,4.092681465103395
AF,RS,4.0083348429735715
AF,RU,3.56810541814719
AF,RW,3.581410396143683
AF,SA,3.1177784442220027
AF,SB,3.6616817946934828
AF,SC,3.6693214941134404
AF,SE,3.6829977675294727
AF,SG,3.66296855846787
AF,SI,3.9850629784760967
AF,SK,3.891255764742116
AF,SL,3.563961289831884
AF,SM,10.459042538966951
AF,SN,3.5268040401615544
AF,SO,3.292467261781681
AF,SR,4.237913210143144
AF,SS,3.3154221542625235
AF,ST,3.8113549243526132
AF,SV,3.99646684142061
AF,SX,4.685978631308367
AF,SZ,3.587598048130949
AF,TC,4.452372264705647
AF,TD,3.81320092449391
AF,TG,3.5674456638340635
AF,TH,5.26377932641405
AF,TJ,3.220130758697372
AF,TK,5.481894820801361
AF,TL,3.444953674113242
AF,TM,4.292815081641895
AF,TN,4.2058451484146495
AF,TO,3.714904073573138
AF,TR,3.505150023413418
AF,TT,4.699495450591156
AF,TV,7.374909164896326
AF,TW,5.22835175656621
AF,TZ,3.5614646663129212
AF,UA,3.5203669991270403
AF,UG,3.3756459437116093
AF,US,3.630046523586779
AF,UY,4.356431442978042
AF,UZ,3.3050523737751427
AF,VC,3.892263395120352
AF,VE,3.6397913642185986
AF,VG,6.02430997963051
AF,VI,5.1180767187104355
AF,VN,5.3904981287314175
AF,VU,3.5331942228526168
AF,WF,7.597598023371808
AF,WS,3.5810604746214154
AF,XK,4.794686908885872
AF,YE,3.214167976336206
AF,YT,3.7009000572248807
AF,ZA,3.4253572020902383
AF,ZM,3.412717629457561
AF,ZW,3.444209240721862
AG,AD,4.033307696257207
AG,AE,3.6600234566556584
AG,AF,4.096108178478451
AG,AG,0.0
AG,AI,4.161305040159293
AG,AL,3.9860112401114813
AG,AM,3.4764474962690417
AG,AO,3.629152168137365
AG,AR,3.798774056882265
AG,AS,3.839345452432175
AG,AT,3.552077145238047
AG,AU,3.4361158863053762
AG,AW,4.067703873772998
AG,AZ,3.6461802866416058
AG,BA,4.184657461438115
AG,BB,2.6347394715151204
AG,BD,3.736305512681158
AG,BE,3.3156002703462994
AG,BF,3.7340779511068067
AG,BG,3.835043525015083
AG,BH,3.538346483941717
AG,BI,3.64092231284865
AG,BJ,3.6348613478780383
AG,BM,3.8623067107491176
AG,BN,3.764167791410588
AG,BO,3.5490926614269824
AG,BQ,5.685699959114771
AG,BR,3.7437142420590885
AG,BS,2.7632933323013242
AG,BT,3.5556649930299016
AG,BW,3.9289541460732553
AG,BY,3.750974572477728
AG,BZ,2.9008550117175056
AG,CA,3.1526004173342037
AG,CD,3.696514145844887
AG,CF,3.632502759457177
AG,CG,3.675418420528804
AG,CH,3.278247908806322
AG,CI,3.536844813822601
AG,CK,6.513575233762162
AG,CL,3.7499944382198214
AG,CM,3.5903071899314756
AG,CN,3.888649603301092
AG,CO,3.411345595565843
AG,CR,4.867855258169088
AG,CV,3.4940873030160033
AG,CW,3.635503359868986
AG,CY,3.958784082730388
AG,CZ,3.4148819565630926
AG,DE,3.303718841317596
AG,DJ,3.611231448845462
AG,DK,3.6494941750953505
AG,DM,3.166213720216355
AG,DO,3.3196787238670957
AG,DZ,3.628639306954018
AG,EC,3.6725367868049146
AG,EE,3.3742278123477627
AG,EG,4.054161099121409
AG,ER,4.465580108955319
AG,ES,3.446488830074897
AG,ET,3.851248941871313
AG,FI,3.436466831718249
AG,FJ,3.352897143650499
AG,FM,3.9480021744900555
AG,FO,4.463400626880676
AG,FR,3.2487825919256577
AG,GA,3.5153119636548253
AG,GB,3.1691846058082964
AG,GD,2.713251368621609
AG,GE,3.490616373519808
AG,GF,3.271209494048054
AG,GH,3.5480007977103134
AG,GI,5.381319061854907
AG,GL,4.325554298410172
AG,GM,3.6401965361739204
AG,GN,3.660946656195617
AG,GP,3.2805098647432818
AG,GQ,4.180601846957265
AG,GR,3.7835019035689452
AG,GT,3.4985199291228923
AG,GU,3.4333540911189684
AG,GW,4.021613523849775
AG,GY,2.716014043939914
AG,HK,4.664154544531996
AG,HN,3.4811681200259006
